,Time,force.x,force.y,force.z,torque.x,torque.y,torque.z,orientation_w,orientation_x,orientation_y,orientation_z,position_x,position_y,position_z,angular_x,angular_y,angular_z,linear_x,linear_y,linear_z,voltage,positive_width_us_0,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6,pwm_7
0,0.0,-0.097482948609516,0.4494619759393483,4.339194238185883,0.0784748136997222,-0.324064324684441,-0.0234256043539196,-0.00011001647101155712,-0.040719667713377254,-0.0037883267141657967,0.9991634211249752,-1.50139975512146,-0.0005896439921264752,0.9958569396825351,0.0022686976157264243,0.004236575845337353,0.00428431206674962,-0.0028630132551368,0.0004876868987198,0.0021573917191069,15.050000190734863,1584.0,1529.0,1620.0,1547.0,1564.943002473776,1537.0,1634.0,1610.943002473776
1,0.1,-0.08829568095222018,0.4499686457123982,4.337608945119315,0.07770393054260476,-0.3228280043225867,-0.026160069053276926,-0.000383938086894956,-0.040514294690569094,-0.00396195255040608,0.999171023956525,-1.5011322793419746,-0.0005672629719397813,0.9959721859965389,0.0031180336208084195,0.004987478421870737,0.00497091884546393,-0.0023885744783163,-0.000218198739485,0.0012588803326454,15.050000190734863,1583.9848153563862,1529.0,1619.992407678193,1547.007592321807,1564.0227769654207,1537.0,1634.0,1608.9544460691588
2,0.2,-0.07871056323653518,0.45101173689420493,4.3359218164732845,0.07801850569707003,-0.3219029964957748,-0.02966249784546766,-0.0006913843408778527,-0.04026530504216039,-0.004107635687869305,0.9991803315525886,-1.5008308425064725,-0.0005670609394607317,0.9960898614733815,0.0035292788218589098,0.0049416710837864985,0.006045297498131769,-0.0011313641224324,0.0015574941330405,0.0010973257584919,15.050000190734863,1582.0,1529.0,1619.0,1548.0,1565.9384696555883,1537.0,1634.0,1601.9384696555883
3,0.30000000000000004,-0.06771673055811714,0.44869687945487335,4.332959237741706,0.07892464830007134,-0.3202547330001901,-0.033079580859202595,-0.0008966161855362798,-0.04006741708537577,-0.004350964945001633,0.9991870996903909,-1.5004958726737212,-0.0005396042724386672,0.9961886945118928,0.004680953056108089,0.004944416090797587,0.004921972465000933,-0.0030693295092063,0.0010178010536813,0.0010391275793442,15.050000190734863,1582.0799383113895,1529.0,1619.0,1548.0,1563.9200616886105,1537.0,1634.0,1599.9200616886105
4,0.4,-0.05427954465927745,0.45014841836589664,4.331304858061753,0.0800743482627978,-0.3185518339665946,-0.031023032501195896,-0.0008175125915703398,-0.03995878515654353,-0.004660871615999024,0.9991901086812129,-1.5001874452638535,-0.0004315893734356546,0.9962657297875886,0.0051753098335990564,0.003934683629141914,-0.0002907381984312036,-0.0030693295092063,0.0010178010536813,0.0010391275793442,15.02422724282862,1583.9520684736092,1529.0,1619.0,1548.0,1563.0,1537.0,1634.0,1599.0
5,0.5,-0.03981311727683741,0.4564262987399175,4.33244967261766,0.08343425197867675,-0.3181602499565417,-0.023418874777205216,-0.00047409893085772624,-0.03995956230109309,-0.005152519132658388,0.9991878966638742,-1.4998280648744022,-0.00021456050002701462,0.996321982680633,0.005085512624981742,0.003208239948979845,-0.006737523833809845,-0.002410253959547,0.0011751707664341,0.0012081440999242,15.025274483243567,1591.1095403754728,1529.0,1619.0,1548.0,1558.1095403754728,1537.0,1634.0,1605.1095403754728
6,0.6000000000000001,-0.031629948762257686,0.4603452346895893,4.329209359822841,0.08491460709929231,-0.31639947689100906,-0.015078660996512859,-8.239769538851029e-05,-0.03986779363793735,-0.005325866776822919,0.9991907616725182,-1.499541390854419,-9.963609873392447e-05,0.9964518916031742,0.004321171092625191,0.0030982195721424187,-0.009705487891797579,-0.002410253959547,0.0011751707664341,0.0012081440999242,15.022389589164254,1594.0666869606393,1529.0,1619.0,1548.0,1559.0,1537.0,1634.0,1607.0
7,0.7000000000000001,-0.018974464760216966,0.46247390637204183,4.324980853410442,0.08631703840139333,-0.3165567380537003,-0.010405711307209936,0.00010561627815009828,-0.039792663944090124,-0.005454500199100135,0.9991930640497483,-1.4991475097644877,-5.636347847610587e-05,0.9966254232509031,0.0037362137738306536,0.0031478267493818073,-0.004871406821872713,-0.0042065085411989,-0.0023661441256292,0.0010562883896178,15.0,1597.0,1529.0,1619.0,1548.0,1558.7901770889678,1537.0,1634.069940970344,1606.8601180593118
8,0.8,-0.0030408300897671143,0.46775654388165583,4.321760902145447,0.08796589734080823,-0.3147468619904378,-0.016155109256722956,0.00015813017536558775,-0.03966388381998074,-0.005672217072398979,0.9991969612339252,-1.498730597867054,-2.42675065081303e-06,0.9967609590673616,0.004333012150390859,0.0026529463556676574,-0.001975681678574539,-0.0048904972523333,-0.0010013699761689,0.0012256887787319,15.020753283821701,1598.0,1529.0,1619.0,1548.0,1554.956151792945,1537.0,1634.0,1603.956151792945
9,0.9,0.013527970767347419,0.46788998894144523,4.318382915469861,0.08950332688313263,-0.3137082346252392,-0.01803878332948169,0.00021470569749248612,-0.03938535266891471,-0.006065584794317157,0.999205662565103,-1.4983240514894374,0.0001481813122410179,0.9968389943794597,0.004440536156109836,0.001955602989355337,-0.0007193644139235466,-0.004859171552723,0.0003167635760782,0.0013059538889335,15.028967573178761,1599.062027753347,1529.0,1619.0,1549.062027753347,1552.937972246653,1537.0,1635.0,1601.937972246653
